mode,msg_size,threads,throughput_gbps,latency_us,cycles,cache_misses,l1_misses,llc_misses,context_switches,timestamp
one_copy,1024,1,2.776,2.92,20423659126,7766232,275628994,75083,208,20260207_010241
one_copy,1024,2,4.323,3.75,40006417408,5614065,410472866,98476,8945,20260207_010248
one_copy,1024,4,4.897,6.13,39466498693,16282255,663760945,157943,505876,20260207_010255
one_copy,1024,8,8.810,6.40,43435988356,53415039,708169062,410064,447071,20260207_010303
one_copy,256,1,0.720,2.87,20391717502,2397031,211316850,24840,261,20260207_010213
one_copy,256,2,1.106,3.75,39452724709,1074252,313559786,22222,7505,20260207_010220
one_copy,256,4,1.413,5.90,44511469539,4322291,590554636,75496,445535,20260207_010227
one_copy,256,8,2.573,6.39,51501382227,11994699,622798222,231058,352843,20260207_010234
one_copy,64,1,0.198,2.85,20381712420,226001,191610559,9405,277,20260207_010145
one_copy,64,2,0.292,3.88,39851301993,382371,260156671,11955,3746,20260207_010152
one_copy,64,4,0.276,8.25,39438779804,2982470,604435799,60839,707886,20260207_010159
one_copy,64,8,0.332,13.72,48725363138,8795483,695075544,228207,478541,20260207_010206
one_copy,8192,1,33.007,1.93,15137586756,51899957,747296269,527797,3730,20260207_010311
one_copy,8192,2,25.917,5.00,39083806463,37293015,1363307846,554832,2747,20260207_010318
one_copy,8192,4,38.681,6.71,28048004914,249654615,1208667898,1213294,56174,20260207_010325
one_copy,8192,8,39.005,13.33,31602625169,330485488,1203584151,2154542,10610,20260207_010332
two_copy,1024,1,1.627,5.01,2211913080,16428615,27601392,88756,4247,20260207_010049
two_copy,1024,2,7.105,2.26,28638345979,35493953,336245185,253342,12203,20260207_010056
two_copy,1024,4,8.169,3.97,18010295414,6166287,270940225,83445,145265,20260207_010103
two_copy,1024,8,11.434,5.70,28632518085,21940731,412610561,443806,100335,20260207_010110
two_copy,256,1,0.757,2.73,20323498730,613961,204735360,12321,280,20260207_010020
two_copy,256,2,2.681,1.51,16869877313,26696953,63780449,131373,7460,20260207_010028
two_copy,256,4,1.615,5.14,25372980499,4864440,258619045,100548,202251,20260207_010035
two_copy,256,8,1.796,9.30,34818966733,12670547,342373592,201641,59774,20260207_010042
two_copy,64,1,0.208,2.72,20363429491,223393,187117549,7778,332,20260207_005952
two_copy,64,2,0.278,4.07,38886779052,836814,266861391,21997,10712,20260207_005959
two_copy,64,4,0.340,6.66,33001693645,3206406,493340606,74978,696122,20260207_010006
two_copy,64,8,0.398,11.42,47258751382,10713562,622581850,297230,364215,20260207_010013
two_copy,8192,1,5.540,11.78,2283737046,53685738,126783359,217013,11754,20260207_010117
two_copy,8192,2,7.107,18.38,3131154526,66617596,172580490,198566,14684,20260207_010124
two_copy,8192,4,21.402,12.19,15586843165,25286368,720812096,181741,179160,20260207_010131
two_copy,8192,8,25.761,20.21,19453594960,31157154,916057579,424367,229379,20260207_010138
zero_copy,1024,1,2.091,3.88,20394187494,262260,279298907,10322,371,20260207_010435
zero_copy,1024,2,3.135,5.19,39983432421,961193,559726132,35526,10235,20260207_010442
zero_copy,1024,4,2.443,12.04,42751881102,6382138,803294755,141573,635327,20260207_010449
zero_copy,1024,8,2.986,17.10,49499189073,9113509,794041581,142278,517060,20260207_010456
zero_copy,256,1,0.582,3.57,20397676872,239903,255803140,12799,241,20260207_010407
zero_copy,256,2,0.804,5.18,39966652043,721909,525170714,22037,14758,20260207_010414
zero_copy,256,4,0.941,8.35,44227911279,3546400,764573458,47061,490429,20260207_010421
zero_copy,256,8,0.740,17.86,45585343165,8281268,714796740,57167,589275,20260207_010428
zero_copy,64,1,0.167,3.39,20372824397,339928,255087202,15791,286,20260207_010339
zero_copy,64,2,0.210,5.40,39003211891,508167,517237779,19800,15336,20260207_010346
zero_copy,64,4,0.187,11.27,40543575711,4435749,747425854,28294,591784,20260207_010353
zero_copy,64,8,0.209,17.54,45300575128,20314250,738853269,93236,559269,20260207_010400
zero_copy,8192,1,17.870,3.61,19302370676,4527695,613548222,264509,2430,20260207_010503
zero_copy,8192,2,29.561,4.34,34197547839,13191875,928889641,898768,16416,20260207_010510
zero_copy,8192,4,30.998,8.11,30188950831,25883728,738661137,593154,338455,20260207_010518
zero_copy,8192,8,41.473,11.89,31575007810,80486052,634671467,2306826,44451,20260207_010525
