mode,msg_size,threads,throughput_gbps,latency_us,cycles,cache_misses,l1_misses,llc_misses,context_switches,timestamp
one_copy,1024,1,32.329,0.95,20047308545,162324558,414570814,102312045,3339,20260205_223850
one_copy,1024,2,2.606,5.16,30102423430,3242701,326044545,1879431,143521,20260205_223857
one_copy,1024,4,16.863,5.80,31888194238,64325944,575611473,43939324,466814,20260205_223904
one_copy,1024,8,16.909,13.24,27064560196,104415159,552094017,70019212,401452,20260205_223911
one_copy,256,1,0.185,3.71,18223983066,234737,221775277,16144,70738,20260205_223822
one_copy,256,2,20.356,2.55,26882629252,106750378,466789692,71094655,113121,20260205_223829
one_copy,256,4,0.694,17.22,21643109270,2279300,303332453,457131,362408,20260205_223836
one_copy,256,8,8.728,20.01,22877947234,59017667,402197401,39960878,357289,20260205_223843
one_copy,64,1,2.401,4.98,16411913376,551267,266613434,94124,101827,20260205_223753
one_copy,64,2,0.214,8.60,20767214401,427848,254503044,70354,229821,20260205_223801
one_copy,64,4,2.019,21.56,16254362291,12933115,337224867,8711787,536956,20260205_223808
one_copy,64,8,6.721,25.60,17740887951,47871110,320270729,33109844,301289,20260205_223815
one_copy,8192,1,16.677,4.35,12205241712,23707395,482274584,15980772,309552,20260205_223918
one_copy,8192,2,27.988,5.22,25740293248,42231259,976335253,29953776,394562,20260205_223925
one_copy,8192,4,12.723,13.31,24784635028,39241813,582079327,28615109,481699,20260205_223932
one_copy,8192,8,20.154,26.24,25683075455,149757736,688681339,105831469,354792,20260205_223939
two_copy,1024,1,2.531,3.19,15691603398,1353843,230669611,415773,106213,20260205_223657
two_copy,1024,2,10.267,1.38,31664417872,2030415,273182727,698086,90335,20260205_223704
two_copy,1024,4,6.287,4.70,22263913134,6934753,349837187,2468711,433505,20260205_223711
two_copy,1024,8,3.957,14.90,16448020201,7609989,250627226,2050275,270331,20260205_223718
two_copy,256,1,5.514,0.33,20434978825,13421151,72714350,557496,58,20260205_223629
two_copy,256,2,7.522,0.50,38027143438,18331625,133248968,1046307,5547,20260205_223636
two_copy,256,4,7.903,0.97,47854457798,20323104,135129717,1455251,21209,20260205_223643
two_copy,256,8,0.968,16.25,17762164143,1838140,275843803,204682,417165,20260205_223650
two_copy,64,1,1.368,0.36,19802021319,3306525,23784751,126652,4879,20260205_223600
two_copy,64,2,2.749,0.36,40499949550,8148724,43806131,372641,165,20260205_223608
two_copy,64,4,2.480,0.84,51583275957,7473547,65892937,251217,9622,20260205_223615
two_copy,64,8,0.668,6.71,22086584209,2678513,203813126,258703,307749,20260205_223622
two_copy,8192,1,0.617,4.14,15944762627,414540,221179060,36777,167805,20260205_223725
two_copy,8192,2,1.282,7.68,22005608802,771314,311535711,198373,361930,20260205_223732
two_copy,8192,4,37.958,6.30,26144789061,7303212,900699169,3864118,450350,20260205_223739
two_copy,8192,8,17.525,24.85,16851189875,18819761,517355684,10643770,349695,20260205_223746
zero_copy,1024,1,0.599,5.70,11372217503,751866,208346782,37243,437940,20260205_224043
zero_copy,1024,2,2.044,7.54,22424931837,2182135,388031630,336044,627563,20260205_224050
zero_copy,1024,4,2.077,19.62,21211608835,1423782,493285047,281172,781789,20260205_224057
zero_copy,1024,8,1.603,48.73,17616331666,2786994,388898845,648155,587504,20260205_224104
zero_copy,256,1,0.564,5.90,10965998020,544593,218746055,41856,451072,20260205_224014
zero_copy,256,2,0.506,7.33,23104023534,742077,346841264,52459,575098,20260205_224021
zero_copy,256,4,0.557,20.57,20617035102,1376255,450713271,91546,760950,20260205_224028
zero_copy,256,8,4.631,30.97,19788992876,12433515,483287527,2653793,528277,20260205_224035
zero_copy,64,1,2.333,5.43,11685019169,1551946,241904889,295374,448299,20260205_223946
zero_copy,64,2,1.788,7.71,21984829009,2063972,357986826,343098,575228,20260205_223953
zero_copy,64,4,2.072,21.64,17515196515,14672188,389569227,5586070,567055,20260205_224000
zero_copy,64,8,4.772,26.98,23454646051,6107752,553141177,1169311,786944,20260205_224007
zero_copy,8192,1,2.354,5.48,11902552297,1681467,248298729,307717,454573,20260205_224111
zero_copy,8192,2,10.778,7.15,22985237954,2713298,612751974,562040,552421,20260205_224118
zero_copy,8192,4,12.451,17.24,20617842367,54417055,620762967,30293206,528951,20260205_224125
zero_copy,8192,8,19.870,31.87,22043714279,86345417,849742791,47778824,301019,20260205_224132
